"item_name","category","trade","unit","unit_price","low_market","high_market","notes"
"Standard Thinset Mortar (gray)","Setting Materials","Tile","50 lb bag","18.0","16.0","22.0","Basic; ~40-50 sq ft/bag at 3/16"" notch"
"Premium Modified Thinset (white)","Setting Materials","Tile","50 lb bag","32.0","28.0","45.0","Polymer-modified; longer open time (Laticrete, MAPEI, Custom)"
"Large-Format Floor & Wall Thinset","Setting Materials","Tile","50 lb bag","35.0","30.0","50.0","Recommended for tiles >15""; anti-slump formula"
"Schluter All-Set (gray)","Setting Materials","Tile","50 lb bag","42.0","38.0","55.0","Preferred for CO dry climate; extended open time"
"Epoxy Mortar / Adhesive","Setting Materials","Tile","per unit","45.0","40.0","70.0","Countertops and chemical-resistant installs"
"Sanded Grout (10 lb bag)","Grout","Tile","10 lb bag","16.0","14.0","22.0","Joints >1/8""; standard floor tile"
"Unsanded Grout (10 lb bag)","Grout","Tile","10 lb bag","14.0","12.0","20.0","Joints <=1/8""; wall tile, polished stone"
"Premium Grout - Prism / Fusion Pro","Grout","Tile","17 lb bag","38.0","32.0","48.0","No sealing needed; ideal for CO low-humidity climate"
"Epoxy Grout (2-part)","Grout","Tile","9 lb kit","55.0","48.0","75.0","Stain-resistant; commercial kitchens, showers"
"Grout Colorant / Sealer","Grout","Tile","1 qt bottle","18.0","14.0","28.0","Refresh or seal existing grout lines"
"Cement Backer Board (1/2"" x 3x5)","Substrate & Backer","Tile","sheet (15 sq ft)","14.0","12.0","18.0","Standard for wet areas and floors"
"HardieBacker 1/4"" Underlayment","Substrate & Backer","Tile","sheet (15 sq ft)","12.0","10.0","15.0","Floor height transition minimization"
"Schluter-DITRA Uncoupling Membrane","Substrate & Backer","Tile","per sq ft","2.2","1.9","2.6","Crack isolation and vapor management (rolls)"
"Schluter-KERDI Waterproofing Membrane","Substrate & Backer","Tile","per sq ft","1.8","1.5","2.2","Sheet membrane for shower walls/pans"
"Self-Leveling Compound (SLC)","Substrate & Backer","Tile","50 lb bag","36.0","32.0","42.0","Floor leveling; ~15 sq ft at 3/8"" depth"
"Primer for SLC","Substrate & Backer","Tile","1 gal jug","45.0","40.0","55.0","Required bonding agent before self-leveler"
"HardieTrim / Edge Metal","Substrate & Backer","Tile","8 ft piece","8.0","6.0","12.0","Basic edge transition"
"Schluter-SCHIENE Metal Edge Trim","Trims & Profiles","Tile","8 ft piece","16.0","14.0","22.0","Aluminum/brass/stainless tile edge protection"
"Schluter-RONDEC Bullnose Profile","Trims & Profiles","Tile","8 ft piece","20.0","18.0","28.0","Rounded outside corner profile"
"Schluter-JOLLY Wall Edge Trim","Trims & Profiles","Tile","8 ft piece","18.0","16.0","25.0","Straight edge profile for wall tile terminations"
"Schluter-SHOWER-SP/KBRN Curbs","Trims & Profiles","Tile","48"" curb","48.0","42.0","60.0","Pre-formed waterproof shower curbs"
"Schluter-SHOWER-NI Niche","Trims & Profiles","Tile","pre-formed unit","95.0","85.0","120.0","Pre-formed waterproof shower niche"
"Tile Spacers (1/16"" or 1/8"" bag 250)","Installation Tools","Tile","bag of 250","6.0","5.0","8.0","Standard joint alignment"
"Tile Leveling System Clips (bag 100)","Installation Tools","Tile","bag of 100","18.0","15.0","24.0","Lippage prevention for large-format tile"
"Tile Leveling System Wedges (bag 100)","Installation Tools","Tile","bag of 100","15.0","12.0","20.0","Reusable wedges"
